City,Afghan,Iranian,Iraqi,Somali,Others,Total
Istanbul,661,622,7682,59,1054,10078
Manisa,8520,1391,1358,0,280,11549
Samsun,1447,85,7173,1,37,8743
Zonguldak,4557,341,3141,4,378,8421
Denizli,2154,3766,413,1,174,6508
Kutahya,620,298,4627,139,144,5828
Konya,1883,111,2392,495,767,5648
Karabuk,1641,112,3739,2,52,5546
Isparta,1320,738,1644,1265,566,5533
Balikesir,766,354,2966,219,811,5116
Cankiri,485,240,4164,12,196,5097
Eskisehir,324,1099,3166,125,279,4993
Nigde,598,1319,2739,46,185,4887
Kayseri,427,2075,1711,5,76,4294
Mardin,158,5,4390,0,7,4560
Bolu,387,210,3891,0,204,4692
Yalova,618,861,2653,2,402,4536
Yozgat,571,251,3561,1,38,4422
Canakkale,2442,317,264,3,993,4019
Diyarbakir,0,0,4002,0,0,4002
Amasya,98,46,3784,0,21,3949
Bilecik,570,182,2175,4,778,3709
Burdur,888,1203,150,1189,244,3674
Kastamonu,566,512,2168,11,269,3526
SAKARYA,473,255,2506,0,187,3421
Corum,56,143,3184,0,21,3404
Ordu,129,82,3165,1,37,3414
Sivas,2656,363,236,3,135,3393
Kirikkale,1128,344,1824,0,60,3356
DUZCE,321,220,2675,1,106,3323
Aksaray,1289,221,1361,290,96,3257
Afyon,123,58,2903,9,23,3116
Kirsehir,394,99,2488,0,16,2997
Karaman,1630,106,900,52,273,2961
Nevsehir,537,1257,1092,1,35,2922
Mersin,835,115,441,141,722,2254
Erzincan,2462,84,253,0,19,2818
Gaziantep,554,55,638,0,295,1542
Ankara,298,171,1572,92,75,2208
Tokat,738,43,1984,0,12,2777
USAK,883,164,1486,0,21,2554
Adana,633,454,691,1,131,1910
Trabzon,1722,79,313,0,36,2150
BATMAN,806,6,1039,0,8,1859
Sinop,193,52,1518,0,10,1773
Van,696,624,20,10,28,1378
GUMUSHANE,879,39,328,7,113,1366
MALATYA,1222,40,24,0,13,1299
Erzurum,1147,101,29,0,26,1303
Sirnak,77,11,1176,0,0,1264
Giresun,887,42,326,0,10,1265
Elazig,863,106,235,7,20,1231
Hatay,20,0,16,1,49,86
Izmir,79,98,311,16,35,539
SIIRT,203,2,673,1,3,882
Kahramanmaras,406,41,59,0,3,509
Sanliurfa,39,1,409,0,11,460
Agri,632,36,26,0,18,712
Kars,607,1,11,0,4,623
Bursa,0,2,11,0,12,25
BAYBURT,447,6,10,0,15,478
Artvin,89,23,88,0,15,215
Kilis,0,0,0,0,43,43
ARDAHAN,109,1,24,0,2,136
Edirne,59,16,9,0,10,94
Kirklareli,54,4,3,0,2,63
Adiyaman,9,3,41,0,0,53
Tekirdag,38,0,4,0,7,49
Osmaniye,0,0,0,0,0,0
IGDIR,19,4,8,0,4,35
Antalya,0,8,2,0,2,12
Hakkari,11,0,7,0,0,18
Kocaeli,1,3,2,0,0,6
Mus,0,0,10,0,0,10
Iskenderun,0,0,0,0,0,0
Adapazari,0,4,1,0,0,5
Aydin,0,2,0,0,1,3
Izmit,0,0,2,0,0,2
Bingol,0,0,0,0,1,1
Mugla,0,0,0,0,1,1
Grand Total,59020,21790,110383,4225,10721,204905
